"Date","Sample Name","VialNo","Meas Mode","Peak Scale","Inj#","Max Inj#","Inj. Counts","STD Conc","Ave. Conc","Unit","Ave. Area","SD(Conc)","CV(Conc)","SD(Area)","CV(Area)"
"46002.73164351852","[TC-1]1","0","TC","200","3","3","3","0","0","mg/L","2.4474999999999998","0","0","0.53949999999999998","22.043818000000002"
"Injection #","Start ID","End ID","Data Counts","Conc","Area","Remark","Inj. Vol.","Dil. Factor","Ex.",NA,NA,NA,NA,NA,NA
"1","0","139","140","0","7.133",NA,"50","1","E",NA,NA,NA,NA,NA,NA
"2","140","260","121","0","2.8290000000000002",NA,"50","1",NA,NA,NA,NA,NA,NA,NA
"3","261","375","115","0","2.0659999999999998",NA,"50","1",NA,NA,NA,NA,NA,NA,NA
"Date","Sample Name","VialNo","Meas Mode","Peak Scale","Inj#","Max Inj#","Inj. Counts","STD Conc","Ave. Conc","Unit","Ave. Area","SD(Conc)","CV(Conc)","SD(Area)","CV(Area)"
"46002.739895833336","[TC-1]2","0","TC","200","2","3","2","12.5","0","mg/L","65.94","0","0","1.2868999999999999","1.951675"
"Injection #","Start ID","End ID","Data Counts","Conc","Area","Remark","Inj. Vol.","Dil. Factor","Ex.",NA,NA,NA,NA,NA,NA
"1","0","162","163","0","65.03",NA,"50","1",NA,NA,NA,NA,NA,NA,NA
"2","163","313","151","0","66.849999999999994",NA,"50","1",NA,NA,NA,NA,NA,NA,NA
"Date","Sample Name","VialNo","Meas Mode","Peak Scale","Inj#","Max Inj#","Inj. Counts","STD Conc","Ave. Conc","Unit","Ave. Area","SD(Conc)","CV(Conc)","SD(Area)","CV(Area)"
"46002.748055555552","[TC-1]3","0","TC","200","2","3","2","25","0","mg/L","132.44999999999999","0","0","2.0506000000000002","1.548214"
"Injection #","Start ID","End ID","Data Counts","Conc","Area","Remark","Inj. Vol.","Dil. Factor","Ex.",NA,NA,NA,NA,NA,NA
"1","0","157","158","0","131",NA,"50","1",NA,NA,NA,NA,NA,NA,NA
"2","158","308","151","0","133.9",NA,"50","1",NA,NA,NA,NA,NA,NA,NA
"Date","Sample Name","VialNo","Meas Mode","Peak Scale","Inj#","Max Inj#","Inj. Counts","STD Conc","Ave. Conc","Unit","Ave. Area","SD(Conc)","CV(Conc)","SD(Area)","CV(Area)"
